station,x,y,z_base,z_crest
28.0,27.43182459643611,75.1498170277903,12.0,30.0
28.5,27.898186587616173,74.96960271736846,11.833333333333334,30.0
29.0,28.36454857879624,74.78938840694661,11.666666666666666,30.0
29.5,28.830910569976304,74.60917409652478,11.5,30.0
30.0,29.297272561156372,74.42895978610294,11.333333333333334,30.0
30.5,29.763634552336438,74.24874547568109,11.166666666666666,30.0
31.0,30.229996543516503,74.06853116525924,11.0,30.0
31.5,30.690515047629948,73.87382706461663,10.75,30.0
32.0,31.15103355174339,73.67912296397404,10.5,30.0
32.5,31.611552055856833,73.48441886333143,10.25,30.0
33.0,32.07207055997028,73.28971476268882,10.0,30.0
33.5,32.528866549722125,73.08640669950576,9.5,30.0
34.0,32.98566253947398,72.8830986363227,9.0,30.0
34.5,33.43988155789451,72.67409665519881,8.5,30.0
35.0,33.89410057631504,72.4650946740749,8.0,30.0
35.5,34.34431240301133,72.24761757058877,7.75,30.0
36.0,34.79452422970762,72.03014046710263,7.5,30.0
36.5,35.244736056403916,71.8126633636165,7.25,30.0
37.0,35.694947883100205,71.59518626013036,7.0,30.0
37.5,36.13665520097416,71.3610013623608,6.875,30.0
38.0,36.578362518848124,71.12681646459123,6.75,30.0
38.5,37.02006983672209,70.89263156682165,6.625,30.0
39.0,37.46177715459604,70.65844666905208,6.5,30.0
39.5,37.90348447247,70.42426177128252,6.375,30.0
40.0,38.34519179034396,70.19007687351294,6.25,30.0
40.5,38.78689910821792,69.95589197574337,6.125,30.0
41.0,39.22860642609188,69.7217070779738,6.0,30.0
41.5,39.6580573581906,69.46573868553776,5.875,30.0
42.0,40.087508290289314,69.20977029310171,5.75,30.0
42.5,40.51695922238803,68.95380190066567,5.625,30.0
43.0,40.94641015448674,68.69783350822962,5.5,30.0
43.5,41.37586108658546,68.44186511579358,5.375,30.0
44.0,41.80531201868418,68.18589672335753,5.25,30.0
44.5,42.234762950782894,67.92992833092148,5.125,30.0
45.0,42.66421388288161,67.67395993848544,5.0,30.0
45.5,43.076784978119406,67.39170486617542,4.916666666666667,30.0
46.0,43.4893560733572,67.1094497938654,4.833333333333333,30.0
46.5,43.901927168594995,66.82719472155537,4.75,30.0
47.0,44.314498263832796,66.54493964924535,4.666666666666667,30.0
47.5,44.72706935907059,66.26268457693533,4.583333333333333,30.0
48.0,45.139640454308385,65.9804295046253,4.5,30.0
48.5,45.55221154954618,65.69817443231528,4.416666666666667,30.0
49.0,45.96478264478397,65.41591936000526,4.333333333333333,30.0
49.5,46.377353740021775,65.13366428769524,4.25,30.0
50.0,46.78992483525957,64.85140921538522,4.166666666666667,30.0
50.5,47.20249593049736,64.5691541430752,4.083333333333333,30.0
51.0,47.61506702573516,64.28689907076517,4.0,30.0
51.5,48.00730182106317,63.97694666196456,4.0,30.0
